key,name
Q1033,나이지리아
Q10856065,
Q117,가나
Q142,프랑스
Q145,영국
Q148,중화인민공화국
Q15180,소련
Q15242873,소련 민정청
Q155,브라질
Q159,러시아
Q16,
Q17,일본
Q170072,네덜란드 공화국
Q18097,한국
Q183,독일
Q188712,일본 제국
Q217,몰도바
Q218,
Q221,북마케도니아
Q224,크로아티아
Q225,보스니아 헤르체고비나
Q252,
Q28179,조선
Q28208,고려
Q28233,대한제국
Q28278,대한민국 임시 정부
Q28456,
Q29,스페인
Q298,칠레
Q29999,네덜란드 왕국
Q30,미국
Q30623,만주국
Q31,벨기에
Q33,
Q36,폴란드
Q40,오스트리아
Q403,세르비아
Q408,오스트레일리아
Q414,아르헨티나
Q423,조선민주주의인민공화국
Q43,터키
Q484370,
Q491559,
Q503585,일제 강점기
Q55,
Q699871,태봉
Q705044,북조선인민위원회
Q7313,
Q739,콜롬비아
Q800,코스타리카
Q8646,
Q881,
Q884,대한민국
Q974,콩고 민주 공화국
